ID	DJ	GIC31	RW1	RW2	Rleg
COG0801	1	1	0	1	1
COG0802	1	1	0	1	0
COG0803	0	1	0	1	1
COG0804	1	0	0	0	1
COG0805	1	1	0	1	1
COG0806	1	1	0	1	1
COG0807	1	1	1	1	0
COG0809	1	1	0	1	1
COG0811	1	0	0	0	1
COG0812	1	1	0	1	1
COG0813	0	1	0	1	0
COG0815	1	0	0	0	1
COG0816	1	1	0	1	1
COG0817	1	0	0	0	1
COG0818	1	1	0	1	1
COG0819	0	1	0	1	1
COG0820	1	1	0	1	1
COG0821	1	1	0	1	1
COG0822	1	1	0	1	1
COG0823	1	0	0	0	1
COG0824	1	1	0	1	1
COG0825	1	1	0	1	1
COG0826	1	1	0	1	0
COG0827	0	1	0	1	0
COG0828	1	0	0	0	1
COG0829	1	0	0	0	1
COG0830	1	0	0	0	1
COG0831	1	0	0	0	1
COG0832	1	0	0	0	1
COG0833	0	0	0	0	1
COG0834	1	1	0	1	1
COG0835	1	1	0	1	1
COG0836	1	1	1	0	1
COG0837	1	0	0	0	1
COG0838	1	0	0	0	1
COG0839	1	0	0	0	1
COG0841	1	1	0	1	1
COG0842	1	1	1	1	1
COG0843	1	1	0	1	1
COG0845	1	0	0	1	1
COG0846	1	0	0	0	0
COG0847	1	1	0	1	1
COG0848	1	0	0	0	1
COG0849	1	1	0	1	1
COG0850	1	1	0	1	1
COG0851	1	0	0	0	1
COG0852	0	0	0	0	1
COG0853	1	1	0	1	0
COG0854	1	0	0	0	1
COG0855	1	1	0	1	1
COG0857	1	0	1	0	0
COG0858	1	1	0	1	1
COG0859	1	0	0	0	0
COG0860	1	1	0	1	1
COG0861	1	1	0	1	1
COG0863	0	0	0	0	1
COG1001	0	1	0	1	1
COG1003	0	1	0	1	0
COG1004	1	1	1	1	1
COG1005	1	0	0	0	1
COG1006	1	1	0	1	1
COG1007	1	0	0	0	1
COG1008	1	0	0	0	1
COG1009	1	0	0	0	1
COG1010	0	0	0	0	1
COG1011	1	1	0	1	1
COG1012	1	1	1	1	1
COG1014	0	0	0	0	1
COG1015	0	1	0	1	1
COG1017	1	1	0	1	0
COG1018	1	1	0	1	1
COG1021	1	0	0	0	0
COG1022	1	0	0	0	0
COG1023	0	1	0	1	1
COG1024	1	1	0	1	1
COG1025	1	0	0	0	0
COG1030	1	1	0	1	1
COG1032	1	0	0	0	1
COG1033	1	0	0	0	0
COG1034	1	0	0	0	1
COG1038	0	1	0	1	1
COG1039	0	1	0	1	0
COG1040	1	1	0	1	1
COG1042	0	0	0	0	1
COG1043	1	0	0	0	1
COG1044	1	0	0	0	1
COG1045	1	1	0	1	1
COG1047	1	0	0	0	0
COG1048	1	1	0	1	1
COG1049	1	0	0	0	0
COG1051	1	1	0	1	1
COG1052	1	1	0	1	1
COG1053	1	1	1	1	1
